Year,Station Code,State,Station Name,DO (mg/L),BOD (mg/L),FC (MPN/100ml),FS (MPN/100ml),pH
2017,1062,Uttar Pradesh,Garhmukteshwar,7.6,2.4,250,NA,7.5
2017,10149,Uttar Pradesh,Brijghat Gharmukteshwar,7.8,2.2,150,NA,7.4
2017,2488,Uttar Pradesh,"U/S, Anoopshahar",7.5,2.2,230,NA,7.3
2017,2489,Uttar Pradesh,"D/S, Anoopshahar",7.3,2.6,210,NA,7.3
2017,1145,Uttar Pradesh,Narora ( Bulandsahar),7.6,2.8,250,NA,7.3
2017,2490,Uttar Pradesh,"Kachhla Ghat, Aligarh",7.7,2.4,190,NA,7.4
2017,1063,Uttar Pradesh,Kannauj U/S ( Rajghat),8.2,3.3,2550,NA,7.8
2017,1066,Uttar Pradesh,Kannauj D/S,7.8,3.9,3400,NA,7.8
2017,1146,Uttar Pradesh,Bithoor ( Kanpur),8.6,3.3,2400,NA,8.1
2017,1067,Uttar Pradesh,Kanpur U/S ( Ranighat),7.7,3.5,3100,NA,7.9
2017,10154,Uttar Pradesh,Bathing Ghat ( Bharaoghat),7.4,3.4,2600,NA,7.7
2017,10155,Uttar Pradesh,D/S ( Shuklaganj),7.2,3.8,3200,NA,7.7
2017,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),7,4,4700,NA,7.6
2017,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station),6,6.1,36500,NA,7.5
2017,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),6.4,5,7000,NA,7.5
2017,1147,Uttar Pradesh,Dalmau ( Rai Bareilly),7.3,4.2,5400,NA,7.8
2017,2498,Uttar Pradesh,Kala Kankar ( Pratapgarh),7.2,4.1,5100,NA,7.8
2017,1046,Uttar Pradesh,Allahabad ( Rasoolabad),8.1,4,19000,NA,8
2017,2487,Uttar Pradesh,"Kadaghat, Allahabad",7.9,4.6,17000,NA,8.2
2017,1049,Uttar Pradesh,Allahabad D/S ( Sangam),7.9,4.3,21500,NA,8
2017,10158,Uttar Pradesh,"A/C Tamsa River, Sirsa, Son, Birsa",7.5,NA,NA,NA,NA
2017,2485,Uttar Pradesh,"U/S, Vindhyachal, Mirzapur",8.3,2.6,1100,NA,6.7
2017,2486,Uttar Pradesh,"D/S, Mirzapur",8,2.8,1700,NA,6.9
2017,1070,Uttar Pradesh,Varanasi U/S ( Assighat),8.1,3.2,1700,NA,8.4
2017,1071,Uttar Pradesh,Varanasi D/S ( Malviya Bridge),6.5,5.8,31000,NA,8.6
2017,1073,Uttar Pradesh,Tarighat ( Ghazipur),7.4,5.2,23000,NA,8.5
2018,10150,Uttar Pradesh,Madhya Ganga Barrage ( Bijnor),8.8,1.3,NA,NA,7.5
2018,1062,Uttar Pradesh,Garhmukteshwar,7.8,2.5,330,NA,7.5
2018,10149,Uttar Pradesh,Brijghat Gharmukteshwar,8,2.3,210,NA,7.4
2018,2488,Uttar Pradesh,U/S Anoopshahar,7.4,2.2,270,NA,7.4
2018,2489,Uttar Pradesh,Anoopshahar D/S,9,2.5,235,NA,7.4
2018,1145,Uttar Pradesh,Narora ( Bulandsahar),7.5,2,270,NA,7.4
2018,2490,Uttar Pradesh,Kachhla Ghat ( Aligarh),7.4,2.1,220,NA,7.5
2018,10151,Uttar Pradesh,Farrukhabad,8.5,2.5,1700,NA,8.2
2018,1063,Uttar Pradesh,U/S Kannauj ( Rajghat),8.2,3.5,2200,NA,8.3
2018,1066,Uttar Pradesh,Kannauj D/S,8.8,4.5,2750,NA,8.2
2018,1146,Uttar Pradesh,Bithoor ( Kanpur),8.2,3.5,2500,NA,8.4
2018,1067,Uttar Pradesh,U/S Kanpur ( Ranighat),7.1,3.8,2950,NA,8.2
2018,10154,Uttar Pradesh,Bathing Ghat ( Bharaoghat),7.7,3.6,2700,NA,8.3
2018,10155,Uttar Pradesh,Shuklaganj D/S,6.9,4.2,3250,NA,8.1
2018,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),6.7,4.5,3400,NA,8
2018,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station),5.8,7.5,30000,NA,7.8
2018,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),6.4,5.7,7000,NA,7.9
2018,1147,Uttar Pradesh,Dalmau ( Rai Bareilly),10,3.6,4700,NA,7.9
2018,2498,Uttar Pradesh,Kala Kankar ( Prratapgarh),9.9,3.5,4900,NA,7.9
2018,1046,Uttar Pradesh,Prayagraj ( Rasoolabad),9.1,3.8,11000,NA,8.2
2018,2487,Uttar Pradesh,Kadaghat ( Prayagraj),8.8,4.1,17000,NA,8.4
2018,1049,Uttar Pradesh,Prayagraj D/S ( Sangam),9,3.4,11000,NA,8.3
2018,10158,Uttar Pradesh,A/C Tamsa River ( Sirsa),9.2,2.7,6800,NA,8.1
2018,2485,Uttar Pradesh,"U/S, Vindhyachal ( Mirzapur)",8.8,2.8,800,NA,8.2
2018,2486,Uttar Pradesh,"D/S, Mirzapur",7.7,3.4,2200,NA,8.2
2018,10153,Uttar Pradesh,Chunar,8.4,3.2,8000,NA,8.4
2018,1070,Uttar Pradesh,U/S Varanasi ( Assighat),7.8,2.8,1300,NA,8.3
2018,1071,Uttar Pradesh,Varanasi D/S ( Malviya Bridge),6.4,5.1,32000,NA,8.2
2018,10152,Uttar Pradesh,A/C Gomti River ( Bhusaula),7.6,3.2,17000,NA,8.4
2018,1073,Uttar Pradesh,Tarighat ( Ghazipur),6.9,4.4,23000,NA,8.2
2019,10150,Uttar Pradesh,Madhya Ganga Barrage ( Bijnor),8.3,1.4,NA,NA,7.6
2019,1062,Uttar Pradesh,Garhmukteshwar,8.7,1.9,505,NA,7.3
2019,10149,Uttar Pradesh,Brijghat Gharmukteshwar,8.4,1.5,240,NA,7.2
2019,2488,Uttar Pradesh,U/S Anoopshahar,8.3,1.4,230,NA,7.2
2019,2489,Uttar Pradesh,Anoopshahar D/S,8.3,1.4,220,NA,7.2
2019,1145,Uttar Pradesh,Narora ( Bulandsahar),8,1.5,540,NA,7.3
2019,2490,Uttar Pradesh,Kachhla Ghat ( Aligarh),10.1,1.3,220,NA,7.6
2019,10151,Uttar Pradesh,Farrukhabad,8.5,2.1,1350,NA,8.1
2019,1063,Uttar Pradesh,U/S Kannauj ( Rajghat),8.3,2.8,2100,NA,8.2
2019,1066,Uttar Pradesh,Kannauj D/S,8.1,3.2,2650,NA,8.1
2019,1146,Uttar Pradesh,Bithoor ( Kanpur),7.5,2.8,2150,NA,8.4
2019,1067,Uttar Pradesh,U/S Kanpur ( Ranighat),7.5,3,2600,NA,8.2
2019,10154,Uttar Pradesh,Bathing Ghat ( Bharaoghat),7.6,3.2,2200,NA,8.3
2019,10155,Uttar Pradesh,Shuklaganj D/S,7.6,3.2,3650,NA,8.3
2019,10156,Uttar Pradesh,Bathing Ghat ( Gola Ghat),7.3,3.8,3700,NA,8.1
2019,1068,Uttar Pradesh,Kanpur D/S ( Jajmau Pumping Station),6.8,4.2,22000,NA,8.1
2019,10157,Uttar Pradesh,Bathing Ghat ( Jajmau Bridge),7.3,3.8,6400,NA,8.2
2019,1147,Uttar Pradesh,Dalmau ( Rai Bareilly),7.9,3.8,2850,NA,8.3
2019,2498,Uttar Pradesh,Kala Kankar ( Pratapgarh),8,3.7,2750,NA,8.4
2019,1046,Uttar Pradesh,Prayagraj ( Rasoolabad),8.2,2.8,7850,NA,8.26
2019,2487,Uttar Pradesh,Kadaghat ( Prayagraj),8,3.2,11000,NA,8.2
2019,1049,Uttar Pradesh,Prayagraj D/S ( Sangam),8.1,2.8,10150,NA,8.1
2019,10158,Uttar Pradesh,A/C Tamsa River ( Sirsa),7.8,2.7,7000,NA,8.2
2019,2485,Uttar Pradesh,"U/S, Vindhyachal ( Mirzapur)",8.2,2.7,800,NA,8.3
2019,2486,Uttar Pradesh,"D/S, Mirzapur",7.6,3.6,8500,NA,8.2
2019,10153,Uttar Pradesh,Chunar,7.9,3.2,7000,NA,8.2
2019,1070,Uttar Pradesh,U/S Varanasi ( Vishwa Sundari Bridge),8.2,2.7,800,NA,8.3
2019,1071,Uttar Pradesh,Varanasi D/S ( Malviya Bridge),7.2,3.7,19500,NA,8.2
2019,10152,Uttar Pradesh,A/C Gomti River ( Bhusaula),8.1,3.2,8000,NA,8.3
2019,1073,Uttar Pradesh,Tarighat ( Ghazipur),7.4,3.6,13000,NA,8.2
2020,10150,Uttar Pradesh,Madhya Ganga Barrage ( Bijnor),8.8,1.1,1100,7.5,7.8
2020,10149,Uttar Pradesh,"U/S Brijghat, Garhmukteshwar",9.2,1.4,215,180,7.8
2020,1062,Uttar Pradesh,"Brijghat D/S, Gharmukteshwar",9,2.2,350,295,7.9
2020,2488,Uttar Pradesh,U/S Anoopshahar,8.5,1.2,780,1.8,7
2020,2489,Uttar Pradesh,Anoopshahar D/S,8.6,1.3,1100,10.9,7
2020,1145,Uttar Pradesh,Narora ( Bulandsahar),8.6,1.3,1100,20,7.1
2020,2490,Uttar Pradesh,Kachhla Ghat ( Aligarh),10.3,1.2,220,1.8,7.5
2020,10151,Uttar Pradesh,Farrukhabad,8.8,2.1,1000,1.8,8.1
2020,1063,Uttar Pradesh,U/S Kannauj ( Rajghat),8.4,2.6,1700,1.8,8.2
2020,1066,Uttar Pradesh,Kannauj D/S,8.1,2.9,2100,1.8,8
2020,1146,Uttar Pradesh,Bithoor ( Kanpur),8.5,2.8,1800,45,8.4
2020,1067,Uttar Pradesh,U/S Kanpur ( Ranighat),8.4,3.1,2600,20,8.3
2020,10154,Uttar Pradesh,U/S Shuklaganj /bathing Ghat ( Bharaoghat),8.1,3.1,2200,68,8.4
